epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.6796,1.21296,2.65767,1.60342,0.59457,0.36654,0.37702,0.19023,1.82999,2.13781,2.10815,0.000237582,0.000237582,0.000237582
2,179.762,1.21785,1.89011,1.5941,0.65013,0.42332,0.45167,0.30959,1.47886,1.82472,1.70381,0.000470873,0.000470873,0.000470873
3,264.792,1.22286,1.91922,1.61036,0.54262,0.44533,0.42948,0.30894,1.46465,1.89179,1.68028,0.000699453,0.000699453,0.000699453
4,349.387,1.16459,1.84644,1.56374,0.62336,0.5162,0.51316,0.37938,1.36605,1.56381,1.5763,0.000692794,0.000692794,0.000692794
5,433.868,1.13537,1.74449,1.53019,0.66511,0.5372,0.55088,0.40439,1.39255,1.54917,1.63262,0.000685726,0.000685726,0.000685726
6,517.925,1.10227,1.69966,1.50286,0.72651,0.53314,0.5765,0.38684,1.38036,1.43785,1.58028,0.000678657,0.000678657,0.000678657
7,602.418,1.06964,1.59539,1.48293,0.70015,0.5519,0.59546,0.42612,1.28596,1.36457,1.44918,0.000671588,0.000671588,0.000671588
8,687.037,1.04187,1.5462,1.45298,0.77613,0.50742,0.58316,0.43037,1.26281,1.38936,1.44622,0.00066452,0.00066452,0.00066452
9,771.71,1.01757,1.49987,1.44194,0.66108,0.55039,0.58211,0.42335,1.30034,1.4237,1.49785,0.000657451,0.000657451,0.000657451
10,856.185,1.01073,1.4586,1.43641,0.80441,0.51622,0.60439,0.46418,1.2304,1.27992,1.40081,0.000650383,0.000650383,0.000650383
11,940.812,0.98984,1.41996,1.41615,0.69544,0.58954,0.61861,0.46616,1.2296,1.2597,1.40716,0.000643314,0.000643314,0.000643314
12,1025.3,0.99707,1.39978,1.41454,0.73649,0.60527,0.64522,0.5021,1.17101,1.14124,1.34985,0.000636245,0.000636245,0.000636245
13,1109.85,0.98272,1.35963,1.39038,0.77029,0.60417,0.64367,0.49936,1.21455,1.18507,1.38487,0.000629177,0.000629177,0.000629177
14,1194.41,0.97024,1.33133,1.39564,0.78229,0.61944,0.65069,0.50231,1.19146,1.10577,1.35416,0.000622108,0.000622108,0.000622108
15,1278.71,0.96428,1.31909,1.38706,0.76381,0.59778,0.64068,0.4947,1.14305,1.12156,1.35034,0.00061504,0.00061504,0.00061504
16,1363.06,0.95488,1.31567,1.38894,0.77069,0.60872,0.65806,0.51216,1.12417,1.06742,1.30066,0.000607971,0.000607971,0.000607971
17,1447.6,0.93983,1.25434,1.37288,0.78892,0.64704,0.66535,0.52096,1.12521,1.07294,1.30523,0.000600902,0.000600902,0.000600902
18,1532.12,0.94975,1.24897,1.3767,0.76219,0.63039,0.66631,0.51569,1.15593,1.05873,1.32059,0.000593834,0.000593834,0.000593834
19,1616.54,0.93903,1.22092,1.35456,0.80027,0.6388,0.68615,0.53045,1.1313,0.99723,1.31367,0.000586765,0.000586765,0.000586765
