epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.122,1.23273,1.15809,1.15813,0.96772,0.88788,0.94544,0.62575,1.2282,0.64096,1.13909,0.00332956,0.00332956,0.00332956
2,217.852,1.20261,0.68511,1.12539,0.94267,0.89294,0.93361,0.61489,1.22851,0.67365,1.1931,0.00659693,0.00659693,0.00659693
3,319.852,1.26274,0.77707,1.18324,0.92496,0.87335,0.9212,0.58533,1.26317,0.75793,1.22266,0.0097983,0.0097983,0.0097983
4,420.901,1.27804,0.79755,1.20991,0.91968,0.88678,0.91157,0.59024,1.27433,0.72632,1.26292,0.009703,0.009703,0.009703
5,521.419,1.25629,0.75939,1.20542,0.9352,0.88884,0.93424,0.62679,1.21492,0.66068,1.21509,0.009604,0.009604,0.009604
6,622.029,1.2358,0.72044,1.20306,0.96505,0.90296,0.95048,0.63614,1.2075,0.63541,1.21148,0.009505,0.009505,0.009505
7,722.794,1.21809,0.6898,1.19237,0.95385,0.89461,0.94823,0.6418,1.19036,0.61849,1.19889,0.009406,0.009406,0.009406
8,823.615,1.19849,0.66155,1.17656,0.96085,0.90562,0.94473,0.63138,1.21142,0.59252,1.2112,0.009307,0.009307,0.009307
9,925.267,1.18722,0.64911,1.16149,0.97255,0.90888,0.94873,0.64483,1.18107,0.58865,1.20572,0.009208,0.009208,0.009208
10,1027.2,1.16674,0.62651,1.15751,0.96915,0.9139,0.95235,0.65427,1.17831,0.54555,1.19123,0.009109,0.009109,0.009109
11,1128.84,1.18671,0.63206,1.16279,0.97463,0.91162,0.96232,0.65748,1.16497,0.5487,1.16881,0.00901,0.00901,0.00901
12,1231.1,1.15858,0.6086,1.14355,0.9596,0.92301,0.95951,0.66123,1.1594,0.52895,1.17493,0.008911,0.008911,0.008911
13,1333.5,1.15523,0.59851,1.14706,0.97363,0.91572,0.95994,0.66307,1.15379,0.54764,1.16918,0.008812,0.008812,0.008812
14,1435.31,1.16216,0.59381,1.14811,0.98539,0.92392,0.96402,0.67302,1.11657,0.50296,1.14916,0.008713,0.008713,0.008713
15,1547.16,1.14631,0.58696,1.14056,0.97692,0.92574,0.96371,0.67396,1.13,0.51295,1.15552,0.008614,0.008614,0.008614
16,1677.69,1.13967,0.5805,1.13211,0.9831,0.92483,0.96615,0.67435,1.12933,0.51518,1.14948,0.008515,0.008515,0.008515
17,1778.77,1.11936,0.57058,1.12515,0.97693,0.92583,0.96404,0.67115,1.129,0.50754,1.14337,0.008416,0.008416,0.008416
18,1880.06,1.12999,0.56568,1.12323,0.97575,0.93473,0.9669,0.67587,1.12791,0.50247,1.1477,0.008317,0.008317,0.008317
19,1981.54,1.12084,0.56162,1.12645,0.98225,0.93304,0.96837,0.67414,1.1359,0.48952,1.14372,0.008218,0.008218,0.008218
20,2083.63,1.11263,0.54969,1.11982,0.97436,0.93491,0.97118,0.68489,1.12049,0.49085,1.14237,0.008119,0.008119,0.008119
21,2253.42,1.11995,0.55498,1.11398,0.97726,0.92802,0.96575,0.6866,1.09976,0.48047,1.12034,0.00802,0.00802,0.00802
22,2418.37,1.11374,0.55021,1.11355,0.97942,0.9344,0.96705,0.68741,1.09496,0.48683,1.12477,0.007921,0.007921,0.007921
23,2607.74,1.10668,0.53915,1.1076,0.97131,0.94085,0.97122,0.68532,1.10273,0.47557,1.12794,0.007822,0.007822,0.007822
24,2848.97,1.10459,0.54094,1.11063,0.98043,0.93582,0.97035,0.68403,1.11036,0.45786,1.13266,0.007723,0.007723,0.007723
25,2962.12,1.09183,0.5346,1.10862,0.98599,0.92967,0.97087,0.68577,1.1043,0.46405,1.12688,0.007624,0.007624,0.007624
26,3064.38,1.10161,0.53008,1.10688,0.98014,0.93804,0.97205,0.68897,1.10052,0.45713,1.12217,0.007525,0.007525,0.007525
27,3166.59,1.08869,0.52053,1.10616,0.9833,0.93888,0.97315,0.69447,1.08563,0.44265,1.11236,0.007426,0.007426,0.007426
28,3269.64,1.08098,0.52112,1.10791,0.98425,0.9396,0.97221,0.68588,1.10323,0.45731,1.12992,0.007327,0.007327,0.007327
29,3372.82,1.09079,0.52038,1.11035,0.98406,0.94169,0.97609,0.698,1.09279,0.44125,1.12224,0.007228,0.007228,0.007228
