epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4542,1.60027,3.57299,1.79558,0.85697,0.17481,0.28111,0.12471,1.82757,3.43898,2.02326,0.000327044,0.000327044,0.000327044
2,79.2703,1.54714,2.53176,1.74247,0.58072,0.26358,0.26805,0.10826,1.96495,2.60424,2.27279,0.00065384,0.00065384,0.00065384
3,115.09,1.5856,2.29792,1.7691,0.59904,0.20605,0.15934,0.05285,2.25497,3.38069,2.68756,0.000974035,0.000974035,0.000974035
4,151.214,1.58496,2.14833,1.75513,0.51665,0.28158,0.22912,0.10158,2.05018,3.48243,2.55534,0.0009703,0.0009703,0.0009703
5,198.534,1.55075,1.97133,1.73297,0.50537,0.20637,0.21568,0.09921,2.10123,2.58633,2.33259,0.0009604,0.0009604,0.0009604
6,242.094,1.52192,1.91562,1.71423,0.68484,0.25255,0.26254,0.11064,1.93594,2.78626,2.15748,0.0009505,0.0009505,0.0009505
7,277.432,1.48117,1.77476,1.66905,0.63043,0.39092,0.39942,0.19222,1.84889,2.4041,2.03825,0.0009406,0.0009406,0.0009406
8,310.434,1.46208,1.73152,1.66565,0.72678,0.43855,0.47017,0.25492,1.65481,1.64631,1.87128,0.0009307,0.0009307,0.0009307
9,346.186,1.43417,1.63363,1.63074,0.68114,0.43092,0.45637,0.23741,1.72223,1.73342,1.97641,0.0009208,0.0009208,0.0009208
10,382.582,1.42573,1.63107,1.63647,0.76094,0.49723,0.53848,0.29485,1.59706,1.50188,1.844,0.0009109,0.0009109,0.0009109
11,419.819,1.37014,1.59957,1.58147,0.7237,0.49394,0.53635,0.29246,1.60738,1.42039,1.79974,0.000901,0.000901,0.000901
12,451.85,1.41124,1.54488,1.61425,0.77511,0.5063,0.53861,0.29188,1.62349,1.3844,1.82805,0.0008911,0.0008911,0.0008911
13,484.695,1.3586,1.53964,1.56851,0.7533,0.5005,0.52613,0.29031,1.59988,1.42073,1.78719,0.0008812,0.0008812,0.0008812
14,517.5,1.37486,1.49201,1.59651,0.75789,0.49231,0.53768,0.29168,1.62054,1.39596,1.8289,0.0008713,0.0008713,0.0008713
15,555.564,1.36921,1.47059,1.57036,0.76489,0.51443,0.55842,0.30673,1.57299,1.31617,1.74868,0.0008614,0.0008614,0.0008614
16,599.065,1.31612,1.44359,1.52703,0.76571,0.56744,0.58865,0.32601,1.55946,1.27787,1.78186,0.0008515,0.0008515,0.0008515
17,624.759,1.38642,1.43688,1.61643,0.74305,0.47224,0.50054,0.26212,1.71872,1.40361,1.89716,0.0008416,0.0008416,0.0008416
18,651.052,1.30582,1.34533,1.52884,0.77463,0.54256,0.5696,0.32998,1.52517,1.23085,1.74104,0.0008317,0.0008317,0.0008317
19,682.067,1.38142,1.44838,1.58597,0.80586,0.55982,0.6022,0.35562,1.45087,1.11912,1.65552,0.0008218,0.0008218,0.0008218
20,714.344,1.35938,1.41022,1.56974,0.84786,0.57508,0.61824,0.36653,1.43101,1.07606,1.6454,0.0008119,0.0008119,0.0008119
21,751.507,1.36216,1.38316,1.60206,0.84616,0.55952,0.61887,0.35902,1.45503,1.09581,1.66901,0.000802,0.000802,0.000802
22,791.755,1.27727,1.27075,1.49775,0.82619,0.57277,0.62526,0.36545,1.42787,1.04464,1.6532,0.0007921,0.0007921,0.0007921
23,824.459,1.29387,1.28248,1.52565,0.80533,0.5471,0.59322,0.3542,1.45023,1.09121,1.64286,0.0007822,0.0007822,0.0007822
24,856.169,1.29094,1.264,1.50338,0.83832,0.58956,0.62992,0.37822,1.39547,1.06001,1.60919,0.0007723,0.0007723,0.0007723
25,888.447,1.29099,1.25609,1.52356,0.83765,0.57824,0.63762,0.39048,1.35702,0.98493,1.57993,0.0007624,0.0007624,0.0007624
26,1097.68,1.27498,1.22175,1.49529,0.82919,0.56964,0.61467,0.37278,1.41526,1.07456,1.62559,0.0007525,0.0007525,0.0007525
27,1127.8,1.28215,1.25058,1.52541,0.88298,0.57287,0.64204,0.39498,1.35815,0.98338,1.57138,0.0007426,0.0007426,0.0007426
28,1158.17,1.26281,1.20131,1.48016,0.86233,0.55576,0.63018,0.38227,1.37027,1.00883,1.56517,0.0007327,0.0007327,0.0007327
29,1188.44,1.2052,1.17704,1.4531,0.89018,0.58404,0.66056,0.39798,1.35157,0.95306,1.56953,0.0007228,0.0007228,0.0007228
30,1218.83,1.23444,1.18797,1.47551,0.89367,0.58775,0.65518,0.39402,1.35305,0.95492,1.57089,0.0007129,0.0007129,0.0007129
31,1248.81,1.21122,1.15434,1.44654,0.86633,0.58524,0.65387,0.40428,1.35417,0.97187,1.5841,0.000703,0.000703,0.000703
32,1278.65,1.2137,1.13827,1.44881,0.87338,0.57363,0.64602,0.39553,1.34859,0.94296,1.55312,0.0006931,0.0006931,0.0006931
33,1308.82,1.23744,1.17918,1.45534,0.85743,0.60052,0.64631,0.40179,1.31717,0.95116,1.52326,0.0006832,0.0006832,0.0006832
34,1339.11,1.22325,1.15162,1.45232,0.87385,0.61424,0.6694,0.4046,1.32684,0.9029,1.54368,0.0006733,0.0006733,0.0006733
35,1369.31,1.18912,1.11563,1.42376,0.85475,0.61685,0.65685,0.40915,1.33091,0.88174,1.55205,0.0006634,0.0006634,0.0006634
